name,office,years,exact_wikipedia_wording,wikipedia_page,language,match_type,scope_note
Jakob Altmaier,Member of the Bundestag,1949–1963,Jakob Altmaier ... was one of few German Jews who returned to Germany after World War II and became active in politics.,https://en.wikipedia.org/wiki/Jakob_Altmaier,English Wikipedia,full Jewish,Federal level via Bundestag service.
Jutta Oesterle-Schwerin,Member of the Bundestag,1987–1990,Born and raised in Jerusalem to Jewish refugees from Germany,https://en.wikipedia.org/wiki/Jutta_Oesterle-Schwerin,English Wikipedia,Jewish family background,Federal level via Bundestag service.
Herbert Hupka,Member of the Bundestag,1969–1987,"Hupka was born ... to a Silesian German Catholic professor, Erich Hupka and a Jewish-German Lutheran mother, Sara Rosenthal. ... [he] was expelled from the Wehrmacht in August 1944 for being a ""half-Jew"" because his mother was Jewish",https://en.wikipedia.org/wiki/Herbert_Hupka,English Wikipedia,half Jewish / Jewish mother,Federal level via Bundestag service.
Egon Bahr,Federal Minister for Special Affairs; Federal Minister for Economic Cooperation,1972–1976,Egon Bahrs Mutter war jüdischer Herkunft.,https://de.wikipedia.org/wiki/Egon_Bahr,German Wikipedia,partial Jewish ancestry / Jewish mother,Federal level via cabinet service.
Helmut Schmidt,Member of the Bundestag; Federal Minister; Chancellor of West Germany,1953–1962; 1965–1987; minister 1969–1974; chancellor 1974–1982,"Schmidt's father was born the biological son of a German Jewish banker, Ludwig Gumpel, and a Christian waitress, Friederike Wenzel, and then covertly adopted, although this was kept a family secret for many years.",https://en.wikipedia.org/wiki/Helmut_Schmidt,English Wikipedia,partial Jewish ancestry,Federal level via Bundestag and cabinet/chancellorship.
Christian Schwarz-Schilling,Member of the Bundestag; Federal Minister of Post and Telecommunications,1976–2002; minister 1982–1992,He became aware of his mother's Jewish origins only after the death of his parents; a German civil servant had changed her name in 1938 under the Nazi regime.,https://en.wikipedia.org/wiki/Christian_Schwarz-Schilling,English Wikipedia,partial Jewish ancestry / maternal Jewish origins,Federal level via Bundestag and cabinet service.
Gregor Gysi,Member of the Bundestag,1990–2002; 2005–present,"He is of partial Jewish ancestry; his paternal grandmother was Jewish, as was one of his maternal great-grandfathers.",https://en.wikipedia.org/wiki/Gregor_Gysi,English Wikipedia,partial Jewish ancestry,Federal level via Bundestag service.
Bijan Djir-Sarai,Member of the Bundestag,2009–2013; 2017–2025,Djir-Sarai was born on 6 June 1976 in Tehran to a family of Iranian-Jewish background.,https://en.wikipedia.org/wiki/Bijan_Djir-Sarai,English Wikipedia,Jewish background,Federal level via Bundestag service.
Żaklin Nastić,Member of the Bundestag,2017–2025,"Ihre Familie hat nach eigenen Angaben polnische, deutsche, kaschubische und jüdische Wurzeln.",https://de.wikipedia.org/wiki/%C5%BBaklin_Nasti%C4%87,German Wikipedia,Jewish roots,Federal level via Bundestag service.
Katja Adler,Member of the Bundestag,2021–2025,Her parents are of German-Jewish origin.[citation needed],https://en.wikipedia.org/wiki/Katja_Adler,English Wikipedia,"German-Jewish origin (Wikipedia text, citation-needed)",Federal level via Bundestag service. Included with caution because the page itself marks the statement as citation needed.
Karin Prien,"Federal Minister for Education, Family Affairs, Senior Citizens, Women and Youth",2025–present,she is the first woman of Jewish ancestry to head a ministry in a post-war German government.,https://en.wikipedia.org/wiki/Karin_Prien,English Wikipedia,Jewish ancestry,Federal level via cabinet service.
